,protein,total_fat,carbohydrates,label,name,food_energy,labels_names
1863,5.055139542,4.709674358,22.10940742,8,"מג'דרה עם אורז, בצל מטוגן ושמן קנולה",164.1460724,לא סווג
1864,4.972976208,5.055934906,18.10687065,14,"מג'דרה עם אורז מלא, בצל מטוגן ושמן קנולה",152.408432,1.1 דגנים מלאים 1.5 ירקות עמילניים 6.2 מוצרי חלב ממותקים בסוכר
1865,1.444785118,2.559163809,5.5052495,31,סלט טבולה מבורגול,54.78281021,לא סווג
1866,1.968182802,2.60904026,9.06317234,19,סלט טבולה מקוסקוס,71.76628113,לא סווג
1867,0.465438753,1.595482826,3.293426037,2,מרק גריסים עם עגבניות בצל ושמן קנולה,30.67580223,10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
1868,0.548745871,1.681135297,4.448786736,16,מרק גריסים עם ירקות ושמן סויה,36.28312302,10.2 משקאות ממותקים בתחליפי סוכר 2 קבוצת הירקות 3 קבוצת הפירות
1869,1.0,1.200000048,13.80000019,28,"מרק עגבניות עם המון אטריות וקרוטונים, נמס, רגע חם, מוכן מאבקה",72.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
1870,0.699999988,0.5,5.099999905,16,"מרק נמס בכוס,לייט, תירס/ ירקות/ פטריות, מוכן מאבקה, קנור",28.0,10.2 משקאות ממותקים בתחליפי סוכר 2 קבוצת הירקות 3 קבוצת הפירות
1871,2.299999952,1.5,17.79999924,14,"אטריות/פסטה, ברוטב פיצה, מנה חמה, מוכן מתערובת, אסם",94.0,1.1 דגנים מלאים 1.5 ירקות עמילניים 6.2 מוצרי חלב ממותקים בסוכר
1872,0.629999995,0.100000001,6.980000019,16,"אשכולית, חיה",32.0,10.2 משקאות ממותקים בתחליפי סוכר 2 קבוצת הירקות 3 קבוצת הפירות
1873,0.800000012,0.0,8.600000381,28,"פומלה, טריה",38.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
1874,0.314999998,0.050000001,4.039999962,16,"אשכולית, עם קליפה וגרעינים",16.0,10.2 משקאות ממותקים בתחליפי סוכר 2 קבוצת הירקות 3 קבוצת הפירות
1875,0.579999983,0.100000001,8.75,28,"אשכולית, משומרת או קפואה, ללא תוספת סוכר, במים",36.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
1876,0.560000002,0.100000001,15.03999996,28,"אשכולית, משומרת או קפואה, בסירופ קל",60.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
1877,0.529999971,0.07,5.480000019,16,"אשכוליות ותפוזים, פלחים, מבושלים, משומרים או קפואים, במים",27.0,10.2 משקאות ממותקים בתחליפי סוכר 2 קבוצת הירקות 3 קבוצת הפירות
